所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
/学员管理(#13),验证分数输入框输入特殊字符是否录入成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【周考成绩】子模块
2.所有参数默认点击【搜索】
3.在信息列表随机选择一条信息，点击【录入】
4.分数输入框输入‘8@’，其他参数选择正确
",1.弹出‘录入失败’提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证分数输入框输入空格是否录入成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【周考成绩】子模块
2.所有参数默认点击【搜索】
3.在信息列表随机选择一条信息，点击【录入】
4.分数输入框输入‘8 8’，其他参数选择正确
",1.弹出‘录入失败’提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证【查看模板】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.点击【查看模板】
",1.打开模板图片网址页,3,功能测试,系统测试阶段
/学员管理(#13),验证【阶段导入】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.点击【阶段导入】
",1.弹出‘上传阶段考文件’窗口,3,功能测试,系统测试阶段
/学员管理(#13),验证所有参数正确，选择格式正确的文件，阶段导入是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.点击【阶段导入】
3.所有参数选择正确，点击【提交】
",1.导入成功，有‘上传成功’相关提示，并且成绩列表更新,3,功能测试,系统测试阶段
/学员管理(#13),验证所有参数正确，选择格式不正确的文件，阶段导入是否正确,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.点击【阶段导入】
3.所有参数选择正确，选择格式不正确的文件，点击【提交】
",1.提示‘上传内容不正确’信息,3,功能测试,系统测试阶段
/学员管理(#13),验证【数据导出】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.点击【数据导出】
",1.弹出保存文件窗口,3,功能测试,系统测试阶段
/学员管理(#13),验证【数据导出】是否可以保存文件,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.点击【数据导出】
3.点击‘保存文件’按钮
",1.文件下载保存至本地,3,功能测试,系统测试阶段
/学员管理(#13),验证【数据导出】文件是否可以在线打开,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.点击【数据导出】
3.点击‘打开’按钮
",1.可以在线打开文件,3,功能测试,系统测试阶段
/学员管理(#13),验证【录入】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.点击【录入】
",1.弹出‘周考记录录入’窗口,3,功能测试,系统测试阶段
/学员管理(#13),验证所有参数正确，是否可以录入,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.所有参数默认点击【搜索】
3.在信息列表随机选择一条信息，点击【录入】
4.所有参数填写正确点击【保存】
",1.录入成功，且该条信息更新记录,3,功能测试,系统测试阶段
/学员管理(#13),验证成绩输入框输入特殊字符是否录入成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.所有参数默认点击【搜索】
3.在信息列表随机选择一条信息，点击【录入】
4.成绩输入框输入‘8@’，其他参数选择正确
",1.弹出‘录入失败’提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证成绩输入框输入空格是否录入成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.所有参数默认点击【搜索】
3.在信息列表随机选择一条信息，点击【录入】
4.成绩输入框输入‘8 8’，其他参数选择正确
",1.弹出‘录入失败’提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证评语输入框输入特殊字符是否录入成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.所有参数默认点击【搜索】
3.在信息列表随机选择一条信息，点击【录入】
4.评语输入框输入‘优秀@’，其他参数选择正确
",1.弹出‘录入失败’提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证评语输入框输入空格是否录入成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【阶段考评】子模块
2.所有参数默认点击【搜索】
3.在信息列表随机选择一条信息，点击【录入】
4.评语输入框输入‘优 秀’，其他参数选择正确
",1.弹出‘录入失败’提示信息,3,功能测试,系统测试阶段
/学员管理(#13),验证默认模式的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.所有参数默认点击【搜索】
",1.成绩列表显示相应的信息,3,功能测试,系统测试阶段
/学员管理(#13),验证只选择区域的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.区域选择‘成都’，其他参数默认，点击【搜索】
",1.成绩列表显示相应的信息,3,功能测试,系统测试阶段
/学员管理(#13),验证只选择班级的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.班级选择‘WNCDC002’，其他参数默认，点击【搜索】
",1.成绩列表显示相应的信息,3,功能测试,系统测试阶段
/学员管理(#13),验证只选择方向的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.方向选择‘开发’，其他参数默认，点击【搜索】
",1.成绩列表显示相应的信息,3,功能测试,系统测试阶段
/学员管理(#13),验证只选择阶段的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.阶段选择‘第一阶段’，其他参数默认，点击【搜索】
",1.成绩列表显示相应的信息,3,功能测试,系统测试阶段
/学员管理(#13),验证搜索输入框输入正确的参数，其他默认的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.姓名输入框输入‘刘倩’，其他参数默认，点击【搜索】
",1.显示刘倩的成绩信息,3,功能测试,系统测试阶段
/学员管理(#13),验证搜索输入框输入不合法的参数，其他默认的查询，是否会显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合】子模块
2.姓名输入框输入‘刘倩@’，其他参数默认，点击【搜索】
",1.提示‘无符合条件的记录’,3,功能测试,系统测试阶段
/学员管理(#13),验证【数据导出】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.点击【数据导出】
",1.弹出保存文件窗口,3,功能测试,系统测试阶段
/学员管理(#13),验证【数据导出】是否可以保存文件,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.点击【数据导出】
3.点击‘保存文件’按钮
",1.文件下载保存至本地,3,功能测试,系统测试阶段
/学员管理(#13),验证【数据导出】文件是否可以在线打开,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.解密
4.点击进入【学员管理】模块

","1.选择【综合成绩】子模块
2.点击【数据导出】
3.点击‘打开’按钮
",1.可以在线打开文件,3,功能测试,系统测试阶段
